Series_Title,Released_Year,Budget_USD_TMDb,Budget_Wikidata,Currency_Wikidata
Hiroshima mon amour,1959.0,,,
The Ten Commandments,1956.0,10000000.0,,
The Searchers,1956.0,3750000.0,,
East of Eden,1955.0,,,
High Noon,1952.0,,,
Strangers on a Train,1951.0,1200000.0,,
Harvey,1950.0,,,
Miracle on 34th Street,1947.0,,,
Notorious,1946.0,,,
The Big Sleep,1946.0,250000.0,,
The Lost Weekend,1945.0,1250000.0,,
The Philadelphia Story,1940.0,,,
His Girl Friday,1940.0,,,
The Adventures of Robin Hood,1938.0,2033000.0,,
A Night at the Opera,1935.0,,,
King Kong,1933.0,207000000.0,,
Freaks,1932.0,2000.0,,
Nosferatu,1922.0,50000000.0,,
The Gentlemen,2019.0,22000000.0,,
Raazi,2018.0,4500000.0,,
Sound of Metal,2019.0,,,
Forushande,2016.0,,,
Dunkirk,2017.0,,,
Perfetti sconosciuti,2016.0,,,
Hidden Figures,2016.0,25000000.0,,
Paddington 2,2017.0,40000000.0,,
Udta Punjab,2016.0,5980000.0,,
Kubo and the Two Strings,2016.0,60000000.0,,
M.S. Dhoni: The Untold Story,2016.0,,,
Manchester by the Sea,2016.0,9000000.0,,
Under sandet,2015.0,5070773.0,,
Rogue One,2016.0,200000000.0,,
Captain America: Civil War,2016.0,250000000.0,,
The Hateful Eight,2015.0,44000000.0,,
Little Women,2019.0,40000000.0,,
Loving Vincent,2017.0,5500000.0,,
Pride,2014.0,,,
Le passé,2013.0,11000000.0,,
La grande bellezza,2013.0,9200000.0,,
The Lunchbox,2013.0,3400000.0,,
Vicky Donor,2012.0,700000.0,,
Big Hero 6,2014.0,165000000.0,,
About Time,2013.0,12000000.0,,
English Vinglish,2012.0,2840000.0,,
Kaze tachinu,2013.0,,,
Toy Story 4,2019.0,175000000.0,,
La migliore offerta,2013.0,13500000.0,,
Moonrise Kingdom,2012.0,,,
How to Train Your Dragon 2,2014.0,145000000.0,,
The Big Short,2015.0,28000000.0,,
Kokuhaku,2010.0,,,
Ang-ma-reul bo-at-da,2010.0,6000000.0,,
The Girl with the Dragon Tattoo,2011.0,90000000.0,,
Captain Phillips,2013.0,55000000.0,,
Ajeossi,2010.0,,,
Straight Outta Compton,2015.0,28000000.0,,
Madeo,2009.0,,,
Chugyeokja,2008.0,2600000.0,,
The Hobbit: The Desolation of Smaug,2013.0,250000000.0,,
Das weiße Band - Eine deutsche Kindergeschichte,2009.0,21555450.0,,
Män som hatar kvinnor,2009.0,13000000.0,,
The Trial of the Chicago 7,2020.0,35000000.0,,
Druk,2020.0,5150000.0,,
The Fighter,2010.0,25000000.0,,
Taken,2008.0,25000000.0,,
The Boy in the Striped Pyjamas,2008.0,12500000.0,,
Once,2007.0,,,
The Hobbit: An Unexpected Journey,2012.0,250000000.0,,
Auf der anderen Seite,2007.0,3800000.0,,
Atonement,2007.0,30000000.0,,
Drive,2011.0,15000000.0,,
American Gangster,2007.0,100000000.0,,
Avatar,2009.0,237000000.0,,
Mr. Nobody,2009.0,47000000.0,,
Apocalypto,2006.0,40000000.0,,
Little Miss Sunshine,2006.0,8000000.0,,
Hot Fuzz,2007.0,12000000.0,,
The Curious Case of Benjamin Button,2008.0,150000000.0,,
Veer-Zaara,2004.0,7000000.0,,
Adams æbler,2005.0,3700000.0,,
Pride & Prejudice,2005.0,28000000.0,,
The World's Fastest Indian,2005.0,25000000.0,,
Tôkyô goddofâzâzu,2003.0,,,
Serenity,2005.0,39000000.0,,
Walk the Line,2005.0,28000000.0,,
Ondskan,2003.0,3000000.0,,
The Notebook,2004.0,29000000.0,,
Diarios de motocicleta,2004.0,,,
Lilja 4-ever,2002.0,2700000.0,,
Les triplettes de Belleville,2003.0,9500000.0,,
Gongdong gyeongbi guyeok JSA,2000.0,12500000.0,,
The Count of Monte Cristo,2002.0,35000000.0,,
Waking Life,2001.0,2000000.0,,
Remember the Titans,2000.0,30000000.0,,
Wo hu cang long,2000.0,17000000.0,,
Todo sobre mi madre,1999.0,8272296.0,,
Cast Away,2000.0,90000000.0,,
The Boondock Saints,1999.0,6000000.0,,
The Insider,1999.0,90000000.0,,
October Sky,1999.0,25000000.0,,
Shrek,2001.0,60000000.0,,
Titanic,1997.0,200000000.0,,
Hana-bi,1997.0,,,
Gattaca,1997.0,36000000.0,,
The Game,1997.0,50000000.0,,
Breaking the Waves,1996.0,7500000.0,,
Ed Wood,1994.0,18000000.0,,
What's Eating Gilbert Grape,1993.0,11000000.0,,
Tombstone,1993.0,25000000.0,,
The Sandlot,1993.0,7000000.0,,
The Remains of the Day,1993.0,11500000.0,,
Naked,1993.0,,,
The Fugitive,1993.0,44000000.0,,
A Bronx Tale,1993.0,22000000.0,,
